creditor,list_rec
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
ORLANDO SERVICE CENTER
400 W ROBINSON ST STE N302
ORLANDO FL328011759","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nORLANDO SERVICE CENTER\n400 W ROBINSON ST STE N302\nORLANDO FL328011759']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
ORLANDO SERVICE CENTER
400 W ROBINSON ST STE N302
ORLANDO FL328011759","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nORLANDO SERVICE CENTER\n400 W ROBINSON ST STE N302\nORLANDO FL328011759']"
"NEFF RENTAL, INC
3750 N.W. 87TH AVE, SUITE 400
MIAMI, FL 33178","['NEFF RENTAL, INC\n3750 N.W. 87TH AVE, SUITE 400\nMIAMI, FL 33178']"
"NEFF RENTAL, INC
3750 N.W. 87TH AVE, SUITE 400
MIAMI, FL 33178","['NEFF RENTAL, INC\n3750 N.W. 87TH AVE, SUITE 400\nMIAMI, FL 33178']"
"COMMUNITY BANK OF FLORIDA
28801 SW 157TH AVE
HOMESTEAD, FL 33033","['COMMUNITY BANK OF FLORIDA\n28801 SW 157TH AVE\nHOMESTEAD, FL 33033']"
"CREDIT COUNSEL, INC.
1400 NE MIAMI GARDENS DRIVE, SIUTE 216
NORTH MIAMI BEACH, FL 33179","['CREDIT COUNSEL, INC.\n1400 NE MIAMI GARDENS DRIVE, SIUTE 216\nNORTH MIAMI BEACH, FL 33179']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
OUT OF STATE/CENTRAL COLLECTIONS UNIT
5050 W TENNESSEE ST
TALLAHASSEE FL323996586","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nOUT OF STATE/CENTRAL COLLECTIONS UNIT\n5050 W TENNESSEE ST\nTALLAHASSEE FL323996586']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE A-250
JACKSONVILLE FL322096804","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE A-250\nJACKSONVILLE FL322096804']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
OUT OF STATE/CENTRAL COLLECTIONS UNIT
5050 W TENNESSEE ST
TALLAHASSEE FL323996586","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nOUT OF STATE/CENTRAL COLLECTIONS UNIT\n5050 W TENNESSEE ST\nTALLAHASSEE FL323996586']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"MID FLORIDA HARDWARE, LLC
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD 100
NORTH MIAMI BEACH, FL 33160","['MID FLORIDA HARDWARE, LLC\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD 100\nNORTH MIAMI BEACH, FL 33160']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
FORT PIERCE SERVICE CENTER
337 N US HIGHWAY 1 STE 207-B
FORT PIERCE FL349504255","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nFORT PIERCE SERVICE CENTER\n337 N US HIGHWAY 1 STE 207-B\nFORT PIERCE FL349504255']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"ROGERS TOWERS, P.A.
1301 RIVERPLACE BOULEVARD, SUITE 1500
JACKSONVILLE, FL 32207","['ROGERS TOWERS, P.A.\n1301 RIVERPLACE BOULEVARD, SUITE 1500\nJACKSONVILLE, FL 32207']"
"CRAIG Z. SHERAR, P.A.
2701 SOUTH BAYSHORE DR
SUITE 303
MIAMI, FL 33133","['CRAIG Z. SHERAR, P.A.\n2701 SOUTH BAYSHORE DR\nSUITE 303\nMIAMI, FL 33133']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
LEESBURG SERVICE CENTER
1904 THOMAS AVE STE 103
LEESBURG FL347483289","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nLEESBURG SERVICE CENTER\n1904 THOMAS AVE STE 103\nLEESBURG FL347483289']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
LEESBURG SERVICE CENTER
1904 THOMAS AVE STE 103
LEESBURG FL347483289","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nLEESBURG SERVICE CENTER\n1904 THOMAS AVE STE 103\nLEESBURG FL347483289']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
PANAMA CITY SERVICE CENTER
210 N TYNDALL PKWY
PANAMA CITY FL324046432","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nPANAMA CITY SERVICE CENTER\n210 N TYNDALL PKWY\nPANAMA CITY FL324046432']"
"GEMAIRE DISTRIBUTORS, INC.
2151 W. HILLSBORO
DEERFIELD BEACH, FL 33442","['GEMAIRE DISTRIBUTORS, INC.\n2151 W. HILLSBORO\nDEERFIELD BEACH, FL 33442']"
"TRANE U.S. INC F/K/A AMERICAN STANDARD INC
ONE CENTENNIAL AVENUE
PISCATAWAY, NJ 08855-6820","['TRANE U.S. INC F/K/A AMERICAN STANDARD INC\nONE CENTENNIAL AVENUE\nPISCATAWAY, NJ 08855-6820']"
"R.H. DONNELLEY PUBLISHING & ADVERTISING, INC.
5000 COLLEGE BOULEVARD, SUITE 201
OVERLAND PARK, KS 66211","['R.H. DONNELLEY PUBLISHING & ADVERTISING, INC.\n5000 COLLEGE BOULEVARD, SUITE 201\nOVERLAND PARK, KS 66211']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MAITLAND SERVICE CENTER
2301 MAITLAND CENTER PKWY STE 160
MAITLAND FL327514192","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMAITLAND SERVICE CENTER\n2301 MAITLAND CENTER PKWY STE 160\nMAITLAND FL327514192']"
"STATE FARM FLORIDA INSURANCE COMPANY
7401 CYPRESS GARDENS BLVD.
WINTER HAVEN, FLORIDA 33888","['STATE FARM FLORIDA INSURANCE COMPANY\n7401 CYPRESS GARDENS BLVD.\nWINTER HAVEN, FLORIDA 33888']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI SOUTH SERVICE CENTER
8175 NW 12TH ST STE 418
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI SOUTH SERVICE CENTER\n8175 NW 12TH ST STE 418\nDORAL FL331261828']"
"TRI-ED DISTRIBUTION, INC.
C/O WILLIAM M. LINDEMAN, P.A.
P.O. BOX 3506
ORLANDO, FL 32802-3506","['TRI-ED DISTRIBUTION, INC.\nC/O WILLIAM M. LINDEMAN, P.A.\nP.O. BOX 3506\nORLANDO, FL 32802-3506']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"UNDERWRITERS LABORATORIES, INC.
333 PFINGSTEN ROAD
NORTHBROOK, IL 60062","['UNDERWRITERS LABORATORIES, INC.\n333 PFINGSTEN ROAD\nNORTHBROOK, IL 60062']"
"YELLOW BOOK SALES AND DISTRIBUTION COMPANY, INC.
C/O SPRECHMAN & ASSOCIATES, P.A.
275
NORTH MIAMI BEACH, FL 33160","['YELLOW BOOK SALES AND DISTRIBUTION COMPANY, INC.\nC/O SPRECHMAN & ASSOCIATES, P.A.\n275\nNORTH MIAMI BEACH, FL 33160']"
"MADISON ACQUISITIONS CORP
PO BOX 630037
NORTH MIAMI BEACH, FL 33163","['MADISON ACQUISITIONS CORP\nPO BOX 630037\nNORTH MIAMI BEACH, FL 33163']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3111 N UNIVERSITY DR STE 501
CORAL SPRINGS FL330655096","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3111 N UNIVERSITY DR STE 501\nCORAL SPRINGS FL330655096']"
"MICHELE SINCLAIR
530 TOURNAMENT LN
FREEPORT, FL 32439","['MICHELE SINCLAIR\n530 TOURNAMENT LN\nFREEPORT, FL 32439']"
"ROBERT THOMPSON
1270 MARSHALL CRT
MERRITT ISLAND, FL 32953","['ROBERT THOMPSON\n1270 MARSHALL CRT\nMERRITT ISLAND, FL 32953']"
"ASHE INDUSTRIES INC
% PAUL T MARKS
307 S BOULEVARD, SUITE D
TAMPA FLORIDA 33606","['ASHE INDUSTRIES INC\n% PAUL T MARKS\n307 S BOULEVARD, SUITE D\nTAMPA FLORIDA 33606']"
"SUNRTRUST BANK
210 SOUTH FLORIDA AVE., STE 521
LAKELAND FL 33802-2036","['SUNRTRUST BANK\n210 SOUTH FLORIDA AVE., STE 521\nLAKELAND FL 33802-2036']"
"KAYCAN LTD.
402 BOYER CIRCLE
WILLISTON, VT 05495","['KAYCAN LTD.\n402 BOYER CIRCLE\nWILLISTON, VT 05495']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
DORAL FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nDORAL FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
COCOA SERVICE CENTER
2428 CLEARLAKE RD STE M
COCOA FL329225731","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCOCOA SERVICE CENTER\n2428 CLEARLAKE RD STE M\nCOCOA FL329225731']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
COCOA SERVICE CENTER
2428 CLEARLAKE RD STE M
COCOA FL329225731","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCOCOA SERVICE CENTER\n2428 CLEARLAKE RD STE M\nCOCOA FL329225731']"
STATE OF FLORIDA0046744,['STATE OF FLORIDA0046744']
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MELBOURNE SERVICE CENTER
6300 N WICKHAM RD STE 133A
MELBOURNE FL329402029","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMELBOURNE SERVICE CENTER\n6300 N WICKHAM RD STE 133A\nMELBOURNE FL329402029']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"MERCEDES-BENZ FINANCIAL SERVICES USA LLC
36455 CORPORATE DR.
FARMINGTON HILLS MI 48331",['MERCEDES-BENZ FINANCIAL SERVICES USA LLC\n36455 CORPORATE DR.\nFARMINGTON HILLS MI 48331']
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
MIAMI FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nMIAMI FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
MIAMI FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nMIAMI FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
MIAMI FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nMIAMI FL331261828']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
MIAMI NORTH SERVICE CENTER
8175 NW 12TH ST STE 119
MIAMI FL331261828","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nMIAMI NORTH SERVICE CENTER\n8175 NW 12TH ST STE 119\nMIAMI FL331261828']"
"DFS, DIVISION OF WORKERS' COMPENSATION
200 EAST GAINES STREET
TALLAHASSEE, FL 32399-4228","[""DFS, DIVISION OF WORKERS' COMPENSATION\n200 EAST GAINES STREET\nTALLAHASSEE, FL 32399-4228""]"
"PRATRIVERO USA, INC.
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD 100
NORTH MIAMI BEACH, FL 33160","['PRATRIVERO USA, INC.\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD 100\nNORTH MIAMI BEACH, FL 33160']"
"DFS, DIVISION OF WORKERS' COMPENSATION
200 EAST GAINES STREET
TALLAHASSEE, FL 32399-4228","[""DFS, DIVISION OF WORKERS' COMPENSATION\n200 EAST GAINES STREET\nTALLAHASSEE, FL 32399-4228""]"
"CENTENNIAL BANK
12141 PANAMA CITY BEACH PARKWAY
PANAMA CITY BEACH, FL 32407","['CENTENNIAL BANK\n12141 PANAMA CITY BEACH PARKWAY\nPANAMA CITY BEACH, FL 32407']"
"MACKOUL DISTRIBUTORS, INC
P.O. BOX 3847
JACKSONVILLE, FL 32206","['MACKOUL DISTRIBUTORS, INC\nP.O. BOX 3847\nJACKSONVILLE, FL 32206']"
"YELLOW BOOK SALES AND DISTRIBUTION COMPANY INC
398 REXCORP PLAZA
UNIONDALE, NY 11556","['YELLOW BOOK SALES AND DISTRIBUTION COMPANY INC\n398 REXCORP PLAZA\nUNIONDALE, NY 11556']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
JACKSONVILLE SERVICE CENTER
921 N DAVIS ST STE 250A
JACKSONVILLE FL322096825","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nJACKSONVILLE SERVICE CENTER\n921 N DAVIS ST STE 250A\nJACKSONVILLE FL322096825']"
"PURE VINYL FENCE SYSTEMS, INC.
4314 ST. AUGUSTINE RD.
SUITE 5
JACKSONVILLE, FL 32207","['PURE VINYL FENCE SYSTEMS, INC.\n4314 ST. AUGUSTINE RD.\nSUITE 5\nJACKSONVILLE, FL 32207']"
"PURE VINYL FENCE SYSTEMS, INC.
4314 ST. AUGUSTINE ROAD
SUITE 5
JACKSONVILLE, FLORIDA 32207","['PURE VINYL FENCE SYSTEMS, INC.\n4314 ST. AUGUSTINE ROAD\nSUITE 5\nJACKSONVILLE, FLORIDA 32207']"
"MASTER-HALCO, INC.
8330 LOVETT AVE.
DALLAS, TX 75227","['MASTER-HALCO, INC.\n8330 LOVETT AVE.\nDALLAS, TX 75227']"
"MASTER-HALCO, INC.
8330 LOVETT AVE.
DALLAS, TX 75227","['MASTER-HALCO, INC.\n8330 LOVETT AVE.\nDALLAS, TX 75227']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
DALLAS SERVICE CENTER
4324 N BELT LINE RD STE C204
IRVING TX750383534","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nDALLAS SERVICE CENTER\n4324 N BELT LINE RD STE C204\nIRVING TX750383534']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
DAYTONA BEACH SERVICE CENTER
1180 N WILLIAMSON BLVD STE 160
DAYTONA BEACH FL321148179","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nDAYTONA BEACH SERVICE CENTER\n1180 N WILLIAMSON BLVD STE 160\nDAYTONA BEACH FL321148179']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
DAYTONA BEACH SERVICE CENTER
1180 N WILLIAMSON BLVD STE 160
DAYTONA BEACH FL321148179","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nDAYTONA BEACH SERVICE CENTER\n1180 N WILLIAMSON BLVD STE 160\nDAYTONA BEACH FL321148179']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
DAYTONA BEACH SERVICE CENTER
1180 N WILLIAMSON BLVD STE 160
DAYTONA BEACH FL321148179","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nDAYTONA BEACH SERVICE CENTER\n1180 N WILLIAMSON BLVD STE 160\nDAYTONA BEACH FL321148179']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
DAYTONA BEACH SERVICE CENTER
1180 N WILLIAMSON BLVD STE 160
DAYTONA BEACH FL321148179","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nDAYTONA BEACH SERVICE CENTER\n1180 N WILLIAMSON BLVD STE 160\nDAYTONA BEACH FL321148179']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
CORAL SPRINGS SERVICE CENTER
3301 N UNIVERSITY DR STE 200
CORAL SPRINGS FL330654149","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nCORAL SPRINGS SERVICE CENTER\n3301 N UNIVERSITY DR STE 200\nCORAL SPRINGS FL330654149']"
"YELLOW BOOK SALES AND DISTRIBUTION COMPANY, INC.
C/O SPRECHMAN & ASSOCIATES, P.A.
2775 SUNNY ISLES BLVD 100
NORTH MIAMI BEACH, FL 33160","['YELLOW BOOK SALES AND DISTRIBUTION COMPANY, INC.\nC/O SPRECHMAN & ASSOCIATES, P.A.\n2775 SUNNY ISLES BLVD 100\nNORTH MIAMI BEACH, FL 33160']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
OUT OF STATE COLLECTIONS UNIT
1415 W US HIGHWAY 90 STE 115
LAKE CITY FL320556156","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nOUT OF STATE COLLECTIONS UNIT\n1415 W US HIGHWAY 90 STE 115\nLAKE CITY FL320556156']"
"STATE OF FLORIDA, DEPARTMENT OF REVENUE
PANAMA CITY SERVICE CENTER
210 N TYNDALL PKWY
PANAMA CITY FL324046432","['STATE OF FLORIDA, DEPARTMENT OF REVENUE\nPANAMA CITY SERVICE CENTER\n210 N TYNDALL PKWY\nPANAMA CITY FL324046432']"
